attribute,mean,max,min
pattern_c87,0.3279538904899135,1.0,0.0
pubchem_f702,0.2749279538904899,1.0,0.0
pubchem_f681,0.6829971181556196,1.0,0.0
pubchem_f367,0.6236311239193083,1.0,0.0
pattern_c50,0.3175792507204611,1.0,0.0
carbonyl,0.575792507204611,1.0,0.0
pubchem_f593,0.439193083573487,1.0,0.0
pattern_c342,0.013256484149855908,1.0,0.0
pubchem_f751,0.013256484149855908,1.0,0.0
pubchem_f814,0.013256484149855908,1.0,0.0
112_trisubstituted_alkene,0.1665706051873199,1.0,0.0
maccs_322_017,0.5446685878962536,1.0,0.0
pattern_c145,0.016714697406340056,1.0,0.0
sat_carb_r6,0.2420749279538905,1.0,0.0
pubchem_f444,0.6449567723342939,1.0,0.0
maccs_k157,0.770028818443804,1.0,0.0
co_single_bond,0.770028818443804,1.0,0.0
pubchem_f684,0.41671469740634004,1.0,0.0
maccs_k057,0.33602305475504324,1.0,0.0
oxacycle,0.33602305475504324,1.0,0.0
alkyl carbamate,0.006340057636887608,1.0,0.0
pubchem_f615,0.4069164265129683,1.0,0.0
pattern_c48,0.4069164265129683,1.0,0.0
pubchem_f739,0.0207492795389049,1.0,0.0
pubchem_f802,0.0207492795389049,1.0,0.0
pattern_c116,0.07262247838616714,1.0,0.0
maccs_k026,0.08818443804034583,1.0,0.0
pubchem_f366,0.44149855907780977,1.0,0.0
pubchem_f187,0.3337175792507205,1.0,0.0
pattern_c49,0.3227665706051873,1.0,0.0
sulfonylurea,0.001729106628242075,1.0,0.0
pattern_c201,0.001729106628242075,1.0,0.0
pubchem_f016,0.315850144092219,1.0,0.0
maccs_k142,0.315850144092219,1.0,0.0
pubchem_f220,0.02132564841498559,1.0,0.0
maccs_k050,0.22593659942363112,1.0,0.0
pubchem_f657,0.38213256484149855,1.0,0.0
pattern_c2,0.09971181556195965,1.0,0.0
pattern_c121,0.014985590778097982,1.0,0.0
maccs_k091,0.4760806916426513,1.0,0.0
pubchem_f189,0.11181556195965418,1.0,0.0
pubchem_f580,0.5406340057636888,1.0,0.0
pubchem_f378,0.18328530259365994,1.0,0.0
pattern_c308,0.018443804034582133,1.0,0.0
fatty acyl,0.24956772334293947,1.0,0.0
maccs_k129,0.5521613832853026,1.0,0.0
pubchem_f287,0.8760806916426513,1.0,0.0
pubchem_f575,0.2760806916426513,1.0,0.0
pattern_c256,0.019020172910662825,1.0,0.0
pubchem_f219,0.019020172910662825,1.0,0.0
pattern_c52,0.2213256484149856,1.0,0.0
maccs_322_050,0.2011527377521614,1.0,0.0
pubchem_f701,0.2195965417867435,1.0,0.0
maccs_k094,0.08414985590778098,1.0,0.0
pubchem_f336,0.362536023054755,1.0,0.0
pattern_c147,0.007492795389048991,1.0,0.0
maccs_322_137,0.023054755043227664,1.0,0.0
maccs_322_139,0.023054755043227664,1.0,0.0
maccs_k063,0.023054755043227664,1.0,0.0
pubchem_f549,0.27896253602305476,1.0,0.0
pattern_c54,0.22363112391930837,1.0,0.0
pubchem_f441,0.37694524495677234,1.0,0.0
pattern_c285,0.09337175792507205,1.0,0.0
maccs_k128,0.5538904899135446,1.0,0.0
pubchem_f711,0.6553314121037463,1.0,0.0
