attribute,mean,max,min
ortho_substituted_ring,0.49337175792507204,1.0,0.0
maccs_322_259,0.28357348703170027,1.0,0.0
pubchem_f819,0.2570605187319885,1.0,0.0
maccs_k052,0.04207492795389049,1.0,0.0
pubchem_f301,0.04207492795389049,1.0,0.0
maccs_322_015,0.49510086455331415,1.0,0.0
maccs_k144,0.49510086455331415,1.0,0.0
maccs_k109,0.330835734870317,1.0,0.0
maccs_k050,0.22593659942363112,1.0,0.0
pubchem_f687,0.1654178674351585,1.0,0.0
poly_sugar_1,0.07838616714697406,1.0,0.0
pattern_c48,0.4069164265129683,1.0,0.0
pubchem_f615,0.4069164265129683,1.0,0.0
pattern_c37,0.5302593659942363,1.0,0.0
pubchem_f567,0.21037463976945245,1.0,0.0
maccs_k118,0.6046109510086455,1.0,0.0
poly_sugar_2,0.07550432276657061,1.0,0.0
pubchem_f702,0.2749279538904899,1.0,0.0
maccs_322_066,0.001729106628242075,1.0,0.0
pubchem_f330,0.001729106628242075,1.0,0.0
pubchem_f023,0.07492795389048991,1.0,0.0
pubchem_f463,0.1244956772334294,1.0,0.0
pubchem_f538,0.1244956772334294,1.0,0.0
pubchem_f565,0.5060518731988473,1.0,0.0
pattern_c116,0.07262247838616714,1.0,0.0
pattern_c76,0.42997118155619596,1.0,0.0
pattern_c6,0.269164265129683,1.0,0.0
pubchem_f861,0.13890489913544668,1.0,0.0
pubchem_f453,0.385014409221902,1.0,0.0
maccs_k147,0.6051873198847262,1.0,0.0
pattern_c77,0.4322766570605187,1.0,0.0
pattern_c26,0.12103746397694524,1.0,0.0
pubchem_f151,0.11988472622478386,1.0,0.0
pubchem_f700,0.3498559077809798,1.0,0.0
pubchem_f665,0.5020172910662825,1.0,0.0
maccs_322_009,0.7665706051873199,1.0,0.0
maccs_k119,0.06455331412103746,1.0,0.0
nAtomP,7.587896253602305,34.0,0.0
pubchem_f697,0.6455331412103746,1.0,0.0
ketone,0.1665706051873199,1.0,0.0
112_trisubstituted_alkene,0.1665706051873199,1.0,0.0
pubchem_f660,0.19423631123919308,1.0,0.0
maccs_k141,0.3654178674351585,1.0,0.0
pubchem_f196,0.06397694524495677,1.0,0.0
pattern_c10,0.14755043227665707,1.0,0.0
pubchem_f634,0.23170028818443805,1.0,0.0
maccs_k086,0.17752161383285303,1.0,0.0
pubchem_f039,0.025360230547550433,1.0,0.0
pubchem_f333,0.9746397694524496,1.0,0.0
pattern_c13,0.12161383285302593,1.0,0.0
organohalide,0.12161383285302593,1.0,0.0
maccs_322_050,0.2011527377521614,1.0,0.0
maccs_k026,0.08818443804034583,1.0,0.0
maccs_k134,0.12334293948126801,1.0,0.0
halide,0.12334293948126801,1.0,0.0
isopropyl,0.08703170028818444,1.0,0.0
pubchem_f017,0.1239193083573487,1.0,0.0
pubchem_f799,0.23746397694524496,1.0,0.0
